5_kurt_total_ips_origem,5_skw_total_ips_destino,5_voefficient_variation_total_pacotes
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2.275253330142759,1.3259266725728256,1.3467382042238178
2.275253330142759,1.3259266725728256,1.3467382042238178
2.3337396547714087,1.329645086666955,1.3394870340556837
1.3385730714646014,1.230816771310959,1.325643279244544
1.4288375637231792,1.2886286575646038,1.3410443691392169
1.539353851972102,1.0840195049453007,1.3249254106363877
1.550311192100429,1.0984122836214048,1.3323084074182574
1.455376979478105,1.0737301248060294,1.3162639549595452
1.455376979478105,1.0737301248060294,1.3162639549595452
1.4093430703323562,1.0758724683210732,1.324236170751158
1.455376979478105,1.0737301248060294,1.3127914228896966
1.6968656993576725,1.068625418351872,1.314416350551871
2.001372379570582,1.0243433440383352,1.2605437678108544
2.353303611001032,1.057085290736712,1.276346179966391
2.4369001380170365,1.0721416088596565,1.271689146362766
2.28776584493472,1.027517472852853,1.2533433492498005
2.28776584493472,1.027517472852853,1.2607918201831858
2.28776584493472,1.027517472852853,1.256619274540287
2.4369001380170365,1.0721416088596565,1.2766038618757023
2.4369001380170365,1.0721416088596565,1.278582378641319
2.596993000439584,1.1308525152004447,1.26227232412948
0.7799305769992017,0.7556903192824156,1.2300605866294578
0.9840393126153336,0.7927198415912777,1.2504886992099198
0.943716300509862,0.8028122777720437,1.2604603088623585
0.9840393126153336,0.7927198415912777,1.242967324928761
1.1034952008089831,0.8165573296769156,1.2414698671780606
0.9840393126153336,0.7927198415912777,1.242565641273376
0.943716300509862,0.8028122777720437,1.2564912571142697
0.943716300509862,0.8028122777720437,1.2564912571142697
1.02669694310172,0.8379321825670769,1.2770853057174254
1.02669694310172,0.8379321825670769,1.2860360497159251
0.8816989305389455,0.7916052362146965,1.270579064918016
0.8816989305389455,0.7916052362146965,1.2812529638757606
0.8221625461310398,0.7815541139617896,1.2866345795286949
2.7301304068971413,1.1656269053444634,1.7363595351388244
2.698056755153949,1.1458177053114755,1.770950482871808
2.3506028652772204,1.087032510272805,1.7334432328104057
2.274821155926165,1.0745927228138097,1.7382464498977943
2.3506028652772204,1.087032510272805,1.7334432328104057
2.3506028652772204,1.087032510272805,1.7334432328104057
2.3506028652772204,1.114027020379245,1.772355267671841
2.1865627713364946,1.1039479321988546,1.769302097356555
1.8903652119086165,1.0470114331318872,1.7618587398771968
1.8903652119086165,1.0470114331318872,1.7253776941677816
12.687352851347258,2.6355819874604114,5.095811449094193
10.336704042223053,2.5495573692646945,4.534330977158757
8.93988021877376,2.522722332056129,4.660908073058868
7.960396431900786,2.3722183721160675,4.617303924782934
7.8524386853135955,2.344069003078909,4.609574836939954
